
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Cmdlet          Add-AppxPackage                                    2.0.1.0    Appx
Cmdlet          Add-AppxProvisionedPackage                         3.0        Dism
Cmdlet          Add-AppxVolume                                     2.0.1.0    Appx
Cmdlet          Add-Content                                        6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Add-History                                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Add-LocalGroupMember                               1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Add-Member                                         6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Add-Type                                           6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Add-WindowsCapability                              3.0        Dism
Cmdlet          Add-WindowsDriver                                  3.0        Dism
Cmdlet          Add-WindowsImage                                   3.0        Dism
Cmdlet          Add-WindowsPackage                                 3.0        Dism
Cmdlet          Clear-Content                                      6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Clear-History                                      6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Clear-Item                                         6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Clear-ItemProperty                                 6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Clear-Tpm                                          2.0.0.0    TrustedPlatformModule
Cmdlet          Clear-Variable                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Clear-WindowsCorruptMountPoint                     3.0        Dism
Cmdlet          Compare-Object                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Confirm-SecureBootUEFI                             2.0.0.0    SecureBoot
Cmdlet          Connect-PSSession                                  6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Connect-WSMan                                      6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Convert-Path                                       6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          ConvertFrom-Csv                                    6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertFrom-Json                                   6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertFrom-Markdown                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertFrom-SddlString                             6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertFrom-SecureString                           6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          ConvertFrom-StringData                             6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertTo-Csv                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertTo-Html                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertTo-Json                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          ConvertTo-ProcessMitigationPolicy                  1.0.11     ProcessMitigations
Cmdlet          ConvertTo-SecureString                             6.1.0.0    Microsoft.PowerShell.Security
Cmdlet          ConvertTo-TpmOwnerAuth                             2.0.0.0    TrustedPlatformModule
Cmdlet          ConvertTo-Xml                                      6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Copy-Item                                          6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Copy-ItemProperty                                  6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Debug-Job                                          6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Debug-Process                                      6.1.0.0    Microsoft.PowerShell.Management
Cmdlet          Debug-Runspace                                     6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Delete-DeliveryOptimizationCache                   1.0.2.0    DeliveryOptimization
Cmdlet          Disable-AppBackgroundTaskDiagnosticLog             1.0.0.0    AppBackgroundTask
Cmdlet          Disable-ExperimentalFeature                        6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Disable-LocalUser                                  1.0.0.0    Microsoft.PowerShell.LocalAccounts
Cmdlet          Disable-PSBreakpoint                               6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Disable-PSRemoting                                 6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Disable-PSSessionConfiguration                     6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Disable-RunspaceDebug                              6.1.0.0    Microsoft.PowerShell.Utility
Cmdlet          Disable-TpmAutoProvisioning                        2.0.0.0    TrustedPlatformModule
Cmdlet          Disable-WindowsErrorReporting                      1.0        WindowsErrorReporting
Cmdlet          Disable-WindowsOptionalFeature                     3.0        Dism
Cmdlet          Disable-WSManCredSSP                               6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Disconnect-PSSession                               6.2.3.0    Microsoft.PowerShell.Core
Cmdlet          Disconnect-WSMan                                   6.1.0.0    Microsoft.WSMan.Management
Cmdlet          Dismount-AppxVolume                                2.0.1.0    Appx
Cmdlet          Dismount-WindowsImage                              3.0        Dism
